Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,Mfg Part #,Mfg Part Desc,Mfg Qty,Sim.Device,Sim.Pins,Optional Part,Optional datasheet,Optional Part #
J6,1,GND/S1,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J7,1,S2/GND,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J8,1,SJ1-3525N,3.5MM_SWITCHCRAFT_35RAPC4BHN2,,,,tht,"Audio Jack, 2 Poles (Mono / TS), Grounded Sleeve, Switched Pole (Normalling)",CuiDevices,SJ1-3525N,Audio Jack with tip and ring switch,1,,,,https://www.lcsc.com/datasheet/lcsc_datasheet_2409272203_SHOU-HAN-PJ3F07-5P_C668604.pdf,PJ3F07-5P
J9,1,S1 6581/8580 J2,PinHeader_1x03_P2.54mm_Vertical,,,,tht,PinHeader_1x03_P2.54mm_Vertical,XUNPU,PH2.54-01-03PZD,"Direct Insert Policy 2.5mm 6mm 3P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x3P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
"L1, L2, L3",3,"4,7uH 1000mA",L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,,,,smt,"4,7uH 1000mA",SunLord,SPH252012H4R7MT,1.25A 4.7uH ±20% 1.2A 1008 Power Inductors ROHS ,1,,,,,
"Q1, Q2",2,MMBT2222A,SOT-23,,,,smt,"15A Ic, 60V Vce, Power NPN Transistor, TO-3",onsemi,MMBT2222ALT1G,"40V 225mW 100@150mA,10V 600mA NPN SOT-23 Bipolar (BJT) ROHS ",1,,,,,
"R1, R2, R4",3,10k,R_0805_2012Metric,,,,smt,"Resistor, small symbol",UNI-ROYAL,0805W8F1002T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
"R10, R16, R17, R3, R5, R6, R7, R8, R9",9,1k,R_0805_2012Metric,,,,smt,,"[R8,R9]UNI-ROYAL; [R5,R6,R7]UNI-ROYAL ",0805W8F1001T5E,"[R8,R9]125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS ; [R3,R5,R6,R7]125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS  ",1,,,,,
R11,1,"7,5k",R_0805_2012Metric,,,,smt,,UNI-ROYAL,0805W8F7501T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 7.5kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
"R12, R14",2,18k,R_0805_2012Metric,,,,smt,,UNI-ROYAL,0805W8F1802T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 18kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
"R13, R15",2,47k,R_0805_2012Metric,,,,smt,,UNI-ROYAL,0805W8F4702T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 47kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
"R18, R19",2,330k,R_0805_2012Metric,,,,smt,,UNI-ROYAL,0805W8F3303T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 330kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
"R20, R21",2,100k,R_0805_2012Metric,,,,smt,,UNI-ROYAL,0805W8F1003T5E,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100kΩ 0805 Chip Resistor - Surface Mount ROHS ,1,,,,,
SW1,1,RST,SW_SPST_B3U-1000P_larger_pads,,,,smt,"Push button switch, generic, two pins",Omron Electronics ,B3U-1000P,"2.5mm 1.6mm Round Button 50mA Standing paste 3mm SPST 153gf 12V SMD,2.5x3mm Tactile Switches ROHS ",1,,,,,
"U2, U3, U4",3,MT3608,SOT-23-6,,,,smt,,AeroSemi,MT3608,High Efficiency 1.2MHz 2A Step Up Converter,1,,,,,
U5,1,DG467,SOT-23-6,,,,smt,"Low Power, High Voltage SPST Analog Switches, 6-Pin TSOP",Vishay,DG467DV-T1-E3,"Low Power, High Voltage SPST Analog Switches",1,,,,,
